Sex	Age	Place	DivPlace	DIV	DivAge	Time	BostonQualifier	HomeStateOrCountry
M	49	1146	100	M45-49	45-49	191.05	Y	NY
M	30	2418	417	M30-34	30-34	207.82	N	NY
M	28	1506	226	M25-29	25-29	197.55	N	FRA
M	36	2207	353	M35-39	35-39	205.78	N	NY
F	33	2273	99	F30-34	30-34	206.42	Y	NY
M	30	2419	418	M30-34	30-34	207.82	N	NY
F	28	1554	61	F25-29	25-29	198.35	Y	NY
M	30	1418	279	M30-34	30-34	196.18	N	CT
M	31	563	137	M30-34	30-34	178.98	Y	GBR
M	27	919	154	M25-29	25-29	186.93	N	NY
F	27	2022	92	F25-29	25-29	203.95	Y	NY
M	38	2036	333	M35-39	35-39	204.05	N	DOM
F	62	2076	1	F60-64	60-64	204.53	Y	FL
M	36	546	108	M35-39	35-39	178.73	Y	FRA
M	44	2242	315	M40-44	40-44	206.08	N	PA
M	45	504	35	M45-49	45-49	177.8	Y	NY
M	48	908	73	M45-49	45-49	186.68	Y	IND
F	28	902	37	F25-29	25-29	186.57	Y	NC
M	37	82	14	M35-39	35-39	157.57	Y	CA
M	44	904	127	M40-44	40-44	186.62	Y	UT
M	20	542	20	M20-24	20-24	178.67	Y	NJ
M	26	1594	239	M25-29	25-29	198.9	N	NY
F	35	1524	40	F35-39	35-39	197.88	Y	NY
M	35	588	113	M35-39	35-39	179.32	Y	NY
F	22	1445	10	F20-24	20-24	196.63	Y	NY
M	43	1843	266	M40-44	40-44	201.92	N	VA
M	28	2267	336	M25-29	25-29	206.35	N	NY
M	37	1801	299	M35-39	35-39	201.4	N	NY
M	48	1804	172	M45-49	45-49	201.42	N	CAN
M	28	2071	302	M25-29	25-29	204.48	N	NY
M	27	53	18	M25-29	25-29	152.92	Y	NY
M	50	527	10	M50-54	50-54	178.4	Y	JPN
M	49	2045	193	M45-49	45-49	204.23	N	NY
M	33	10	4	M30-34	30-34	134.1	Y	UT
M	26	35	12	M25-29	25-29	147.4	Y	ETH
M	36	2451	392	M35-39	35-39	208.02	N	NY
M	36	1580	266	M35-39	35-39	198.75	N	IRL
M	47	2432	224	M45-49	45-49	207.9	N	CT
M	40	1478	218	M40-44	40-44	197.22	N	DOM
M	34	2249	388	M30-34	30-34	206.17	N	MA
M	33	522	129	M30-34	30-34	178.22	Y	NY
M	32	2087	373	M30-34	30-34	204.65	N	FRA
M	37	2405	383	M35-39	35-39	207.7	N	UKR
M	49	2473	228	M45-49	45-49	208.13	N	NY
M	57	578	7	M55-59	55-59	179.2	Y	MEX
M	30	982	206	M30-34	30-34	188.32	N	NY
F	34	1102	42	F30-34	30-34	190.15	Y	NY
M	29	2402	352	M25-29	25-29	207.68	N	NJ
M	33	1419	280	M30-34	30-34	196.18	N	NY
M	42	966	138	M40-44	40-44	188	Y	NC
M	42	201	14	M40-44	40-44	167.32	Y	MO
M	54	2008	114	M50-54	50-54	203.85	Y	NJ
F	30	94	5	F30-34	30-34	158.9	Y	AZ
F	37	1560	41	F35-39	35-39	198.43	Y	NY
M	38	4	1	M35-39	35-39	131.25	Y	CO
M	29	78	24	M25-29	25-29	157.17	Y	TX
F	30	24	2	F30-34	30-34	142.87	Y	ETH
M	31	74	21	M30-34	30-34	156.53	Y	OH
M	50	2436	142	M50-54	50-54	207.93	N	NY
M	58	1537	27	M55-59	55-59	198.12	Y	NJ
M	44	2257	317	M40-44	40-44	206.23	N	MEX
F	37	1480	37	F35-39	35-39	197.23	Y	NY
F	33	250	10	F30-34	30-34	169.57	Y	ITA
F	29	1845	79	F25-29	25-29	201.93	Y	NJ
M	58	1807	41	M55-59	55-59	201.45	Y	AUS
M	27	1815	264	M25-29	25-29	201.53	N	NJ
F	33	2454	106	F30-34	30-34	208.03	Y	NY
M	38	1808	301	M35-39	35-39	201.47	N	GBR
M	26	1406	216	M25-29	25-29	196.03	N	NY
M	36	77	12	M35-39	35-39	156.92	Y	NY
M	35	1873	309	M35-39	35-39	202.18	N	NY
M	39	1126	199	M35-39	35-39	190.68	N	CT
F	32	1200	47	F30-34	30-34	192.08	Y	NY
F	37	2427	77	F35-39	35-39	207.85	Y	NY
M	26	2202	326	M25-29	25-29	205.72	N	CA
F	33	948	36	F30-34	30-34	187.65	Y	BTN
M	31	1169	236	M30-34	30-34	191.47	N	MI
M	45	81	1	M45-49	45-49	157.45	Y	ZAF
M	47	2434	225	M45-49	45-49	207.9	N	NY
M	31	2294	398	M30-34	30-34	206.62	N	NY
